"","sigmaObsA","sigmaObsB","sigmaObsC","sigmaObsD","sigmaProA","sigmaProB","sigmaProC","sigmaProD","RhoA","RhoB","RhoC","RhoD"
"18",0.182428724321654,0.178546104069668,0.165424376944429,0.205619479826549,0.344307413811828,0.400027525824291,0.314729650702648,0.44883106519932,0.877434524557274,0.991260855497138,0.982497245825811,0.931087619021779
"19",0.161118751404578,0.20733667101219,0.187843047354607,0.202822880416294,0.362839485494252,0.393982368201367,0.302115352256933,0.456897001338914,0.876052330485804,0.986947463723705,0.963893609613518,0.89621891941457
"20",0.19509403027367,0.197664437448971,0.18734141245367,0.255272344249174,0.354169291989248,0.395922934692987,0.307184400969655,0.446367892402962,0.869242960546288,0.995285509298394,0.962484733523806,0.886130760075825
"21",0.231783284206726,0.187958462091862,0.151109480971511,0.19892043992566,0.303082720354774,0.407207916048819,0.312660658980755,0.472418171656222,0.790745964274464,0.9943333105394,0.966581078267424,0.90347196028088
"22",0.22514128226356,0.211181398968336,0.167733927753104,0.226615087176555,0.327052514378676,0.379392850164425,0.282206725024502,0.445151831421302,0.815544141519035,0.995602552452469,0.977399515832955,0.862759057150087
"23",0.255454971930503,0.22207721883978,0.142192640886942,0.172942926890255,0.313187825482883,0.377916297561119,0.298877335867882,0.475456066939614,0.762300440650799,0.996124962076091,0.98605348877793,0.942145033113231
"24",0.177268456055307,0.19805976164419,0.120507157223518,0.20238149510968,0.349081687746605,0.396554679504628,0.303401794759341,0.457296355568905,0.869887572125515,0.987246344412561,0.986290411733221,0.895413325392622
"25",0.137807231758755,0.183665815627756,0.161035559813817,0.241056267301409,0.371811423646266,0.423435139071768,0.279819993604822,0.448161646637542,0.903983657243397,0.987129396944813,0.971241790747949,0.864251770585568
"26",0.202226215389993,0.206937389121006,0.167032297614118,0.218764773864699,0.314300559597377,0.384665523054616,0.268024323944122,0.438652349591438,0.828646354471466,0.989584194798568,0.983258035954304,0.84056653737302
"27",0.186016668174756,0.181413578433236,0.153279724200838,0.200269785271111,0.346435942664805,0.369973294451411,0.282051552255672,0.433933003480698,0.837837113153811,0.992624145124232,0.979876517460414,0.915207753267718
"28",0.150033737544563,0.226115243117663,0.141166233714692,0.25556666754272,0.366324016518864,0.377742669725264,0.285397228257776,0.390161725180624,0.850815680488494,0.951850916377825,0.976581546478811,0.824573294043916
"29",0.190998379982922,0.200961303828825,0.160565509253967,0.227587485465263,0.318118579102915,0.397531730205434,0.290721362028101,0.434611512416224,0.784782433314063,0.994133153325885,0.9706865162185,0.909299871054041
"30",0.130593869943525,0.199828969654382,0.13513593232515,0.203458923457818,0.360675621529464,0.377813026225653,0.303527316161772,0.450249078540988,0.917680103326863,0.984316563878554,0.983997139346926,0.917492285691724
"31",0.210387294292872,0.17354382172844,0.173018362369926,0.227377943205189,0.32480559856174,0.396374652223498,0.28167715691745,0.449202650730038,0.863936139232413,0.99502374435652,0.974304437341363,0.883223508764983
"32",0.175182441763051,0.210198168676975,0.135101228977979,0.214519590478162,0.348312814747291,0.409761060499719,0.292937994343995,0.440239405876461,0.877911348704904,0.990223366074039,0.981194856888497,0.870810688449349
"33",0.153001459122654,0.204323743128557,0.159366587368911,0.191956696009199,0.348423947609469,0.425439132007157,0.3070462597516,0.456287548075431,0.866198795021771,0.99638222101022,0.981432608414934,0.938688159418246
"34",0.178632415719935,0.242765604204226,0.125600509645578,0.24958016205163,0.341587992097384,0.403701430599761,0.307922744986598,0.430095220594283,0.867116353212378,0.977559823309318,0.9850760246358,0.864244474458353
"35",0.19729967296712,0.20077410644318,0.137067492218043,0.188577913998374,0.33927099466225,0.396689123713584,0.289030054590486,0.472535215878009,0.85526136851417,0.994262467921118,0.973753050808604,0.907161231352693
"36",0.183110165121318,0.19822443364461,0.155322335642547,0.280545071034819,0.357002746649511,0.394710878620377,0.306073734327877,0.414905568879781,0.877872604046298,0.989299339234392,0.98205576101948,0.842618106473547
"37",0.226260304967084,0.219342082949863,0.139629408982162,0.209481683799132,0.375181502802618,0.399968869407302,0.295141659874438,0.45847100940693,0.766706637361609,0.98427185597196,0.982542883903137,0.845237560424598
"38",0.152152240728862,0.237213317896782,0.14900164398294,0.216391999500236,0.325785295562126,0.389646757715174,0.288882524895616,0.436970201517031,0.895934592290021,0.982988925048965,0.972171057707117,0.915848285103414
"39",0.144967155380741,0.203260071422796,0.138277524505282,0.286185909174893,0.357741239657135,0.380725778411292,0.31860195829823,0.386566219036403,0.927604497663322,0.992287274036765,0.951100858054488,0.858917160852065
"40",0.183126020181632,0.191521523814834,0.161033873574315,0.196322005486121,0.332153332553944,0.399026157386108,0.301444347378072,0.49647644187549,0.889904501962616,0.993231783448031,0.970122891792028,0.92247071554182
